"","Site","date","meanT","meanRH"
"482","Wiltshire",2018-10-12,15.1623958333333,95.7388541666666
"483","Wiltshire",2018-10-13,17.6853819444445,91.8483333333333
"484","Wiltshire",2018-10-14,10.3643402777777,97.6066319444444
"485","Wiltshire",2018-10-15,10.1407986111111,99.6916319444445
"486","Wiltshire",2018-10-16,12.4039236111111,99.6552083333333
"487","Wiltshire",2018-10-17,12.7305902777778,96.5687847222223
"488","Wiltshire",2018-10-18,9.94447916666665,94.3276041666666
"489","Wiltshire",2018-10-19,8.47736111111111,93.4325
"490","Wiltshire",2018-10-20,9.29180555555556,96.7502083333333
"491","Wiltshire",2018-10-21,10.7058333333333,93.8880555555556
"492","Wiltshire",2018-10-22,10.4813194444445,83.5934027777778
"493","Wiltshire",2018-10-23,14.9590277777778,81.6870833333333
"494","Wiltshire",2019-04-25,11.0982777777778,78.1724444444444
"495","Wiltshire",2019-04-26,9.1328125,91.0931597222222
"496","Wiltshire",2019-04-27,7.95381944444444,84.165625
"497","Wiltshire",2019-04-28,9.41243055555556,78.7448958333333
"498","Wiltshire",2019-04-29,10.7652777777778,78.5884375
"499","Wiltshire",2019-04-30,10.5934027777778,78.8427083333333
"500","Wiltshire",2019-05-01,11.0147916666667,88.3333680555556
"501","Wiltshire",2019-05-02,9.20979166666666,90.7699652777777
"502","Wiltshire",2019-05-03,8.91555555555555,92.2454861111111
"503","Wiltshire",2019-05-04,7.37204861111111,74.4984375
"504","Wiltshire",2019-05-05,7.55576388888889,75.3418402777777
"505","Wiltshire",2019-05-06,8.29454861111111,74.3468055555556
"506","Wiltshire",2019-05-07,9.9512847222222,73.8743055555556
"507","Wiltshire",2019-05-08,9.71579861111111,96.5800347222223
"508","Wiltshire",2019-05-09,9.501875,96.9929513888889
"509","Wiltshire",2019-05-10,9.36263888888889,86.9298611111111
"510","Wiltshire",2019-05-11,9.84739583333332,83.5206597222222
"511","Wiltshire",2019-05-12,10.7798611111111,68.2792013888889
"512","Wiltshire",2019-05-13,11.681875,66.5903819444445
"513","Wiltshire",2019-05-14,12.1796527777778,63.7903125
"514","Wiltshire",2019-05-15,13.1702430555555,66.3060416666667
"515","Wiltshire",2019-05-16,12.2362847222222,66.5939236111111
"516","Wiltshire",2019-05-17,10.3571180555556,87.3334722222222
"517","Wiltshire",2019-05-18,12.2319444444445,82.2732986111111
"518","Wiltshire",2019-05-19,12.6744444444444,85.8294444444444
"519","Wiltshire",2019-05-20,13.5701388888888,79.4876041666667
"520","Wiltshire",2019-05-21,13.0720138888889,75.22875
"521","Wiltshire",2019-05-22,13.4406597222223,70.6579166666667
"522","Wiltshire",2019-05-23,13.5055208333333,74.7340277777778
"523","Wiltshire",2019-05-24,14.5657638888889,79.8402430555556
"524","Wiltshire",2019-05-25,15.4864583333333,81.1277777777778
"525","Wiltshire",2019-05-26,14.4109027777778,90.6923263888889
"526","Wiltshire",2019-05-27,12.45125,83.9465277777778
"527","Wiltshire",2019-05-28,11.5852777777777,87.1149305555556
"528","Wiltshire",2019-05-29,10.3380902777778,97.0979166666667
"529","Wiltshire",2019-05-30,15.7277083333333,87.2792708333333
"530","Wiltshire",2019-05-31,14.9666666666667,91.7373611111111
"531","Wiltshire",2019-06-01,16.34125,80.8631597222222
"532","Wiltshire",2019-06-02,14.6742361111111,92.5849652777777
"533","Wiltshire",2019-06-03,12.4808333333334,92.0749305555556
"534","Wiltshire",2019-06-04,12.8077430555555,91.4660069444444
"535","Wiltshire",2019-06-05,12.7177777777778,83.1905555555555
"536","Wiltshire",2019-06-06,12.0520833333333,75.8724305555556
"537","Wiltshire",2019-06-07,11.3168055555556,96.3071180555555
"538","Wiltshire",2019-06-08,12.0795138888889,88.325625
"539","Wiltshire",2019-06-09,11.3405902777777,88.3144791666666
"540","Wiltshire",2019-06-10,9.21784722222223,97.1575
"541","Wiltshire",2019-06-11,9.36177083333333,99.9502430555555
"542","Wiltshire",2019-06-12,10.7109027777778,97.6963194444445
"543","Wiltshire",2019-06-13,11.4789236111111,100
"544","Wiltshire",2019-06-14,12.4572569444444,93.6010069444444
"545","Wiltshire",2019-06-15,11.82625,97.1511458333333
"546","Wiltshire",2019-06-16,12.7665277777778,95.9451736111111
"547","Wiltshire",2019-06-17,14.4988541666667,89.6275
"548","Wiltshire",2019-06-18,12.9563541666666,98.5318055555556
"549","Wiltshire",2019-06-19,14.0288888888889,97.8342361111111
"550","Wiltshire",2019-06-20,13.0318402777778,89.4562847222223
"551","Wiltshire",2019-06-21,13.1553125,82.7085763888889
"552","Wiltshire",2019-06-22,13.6902777777777,79.5225
"553","Wiltshire",2019-06-23,15.7573958333333,86.2204513888889
"554","Wiltshire",2019-06-24,17.8581944444445,90.6923611111111
"555","Wiltshire",2019-06-25,16.7450347222222,98.9484722222222
"556","Wiltshire",2019-06-26,15.4747916666667,96.2425
"557","Wiltshire",2019-06-27,16.3347222222222,80.6818402777778
"558","Wiltshire",2019-06-28,17.7598958333333,79.0513541666666
"559","Wiltshire",2019-06-29,20.1379513888889,80.5803819444444
"560","Wiltshire",2019-06-30,16.4032291666666,84.5950347222223
"561","Wiltshire",2019-07-01,15.61,79.7074652777778
"562","Wiltshire",2019-07-02,14.8163541666666,76.0182291666667
"563","Wiltshire",2019-07-03,15.0169444444444,75.5195486111111
"564","Wiltshire",2019-07-04,16.5821875,73.6676736111111
"565","Wiltshire",2019-07-05,17.4555555555555,75.52125
"566","Wiltshire",2019-07-06,16.9547916666667,83.1209374999999
"567","Wiltshire",2019-07-07,16.3846527777778,79.234375
"568","Wiltshire",2019-07-08,16.6199652777778,81.7819791666666
"569","Wiltshire",2019-07-09,17.6381597222222,77.4782291666667
"570","Wiltshire",2019-07-10,18.3720486111111,80.1273611111111
"571","Wiltshire",2019-07-11,17.6563888888889,83.5673958333333
"572","Wiltshire",2019-07-12,18.6315277777777,77.5409375
"573","Wiltshire",2019-07-13,16.0498611111111,82.74625
"574","Wiltshire",2019-07-14,17.0017361111111,80.1407291666667
"575","Wiltshire",2019-07-15,15.6396875,79.3682986111111
"576","Wiltshire",2019-07-16,17.1801736111112,74.7941319444444
"577","Wiltshire",2019-07-17,17.0225,83.3464583333333
"578","Wiltshire",2019-07-18,16.3026388888889,86.2109375
"579","Wiltshire",2019-07-19,15.2737152777778,98.6325
"580","Wiltshire",2019-07-20,16.5352777777778,93.9246180555556
"581","Wiltshire",2019-07-21,16.3442708333333,90.5910069444444
"582","Wiltshire",2019-07-22,19.2717361111111,93.5429861111111
