Date,T,Box,Apo,Total,P,Idate
21/11/2018,15,C,1,12,8.333333333,20/07/2019
21/11/2018,15,E,2,12,16.66666667,20/07/2019
21/11/2018,15,F,1,11,9.090909091,20/07/2019
21/11/2018,15,G,1,12,8.333333333,20/07/2019
21/11/2018,10,A,3,13,23.07692308,20/07/2019
21/11/2018,10,B,3,11,27.27272727,20/07/2019
21/11/2018,10,C,0,14,0,20/07/2019
21/11/2018,10,D,2,11,18.18181818,20/07/2019
21/11/2018,10,E,0,13,0,20/07/2019
21/11/2018,10,F,3,12,25,20/07/2019
21/11/2018,4,A,1,13,7.692307692,20/07/2019
21/11/2018,4,B,3,14,21.42857143,20/07/2019
21/11/2018,4,C,4,12,33.33333333,20/07/2019
21/11/2018,4,D,1,9,11.11111111,20/07/2019
21/11/2018,4,E,8,12,66.66666667,20/07/2019
21/11/2018,4,G,3,12,25,20/07/2019
30/11/2018,20,A,0,10,0,20/07/2019
30/11/2018,20,B,0,11,0,20/07/2019
30/11/2018,20,C,0,11,0,20/07/2019
30/11/2018,20,D,2,11,18.18181818,20/07/2019
30/11/2018,20,E,0,9,0,20/07/2019
30/11/2018,20,G,3,13,23.07692308,20/07/2019
30/11/2018,15,C,1,12,8.333333333,20/07/2019
30/11/2018,15,E,1,12,8.333333333,20/07/2019
30/11/2018,15,F,1,11,9.090909091,20/07/2019
30/11/2018,15,G,0,12,0,20/07/2019
30/11/2018,10,A,2,13,15.38461538,20/07/2019
30/11/2018,10,B,2,11,18.18181818,20/07/2019
30/11/2018,10,C,1,14,7.142857143,20/07/2019
30/11/2018,10,D,1,11,9.090909091,20/07/2019
30/11/2018,10,E,0,13,0,20/07/2019
30/11/2018,10,F,1,12,8.333333333,20/07/2019
30/11/2018,4,A,1,13,7.692307692,20/07/2019
30/11/2018,4,B,3,14,21.42857143,20/07/2019
30/11/2018,4,C,3,12,25,20/07/2019
30/11/2018,4,D,1,9,11.11111111,20/07/2019
30/11/2018,4,E,6,12,50,20/07/2019
30/11/2018,4,G,3,12,25,20/07/2019
07/12/2018,20,A,0,10,0,20/07/2019
07/12/2018,20,B,0,11,0,20/07/2019
07/12/2018,20,C,0,11,0,20/07/2019
07/12/2018,20,D,1,11,9.090909091,20/07/2019
07/12/2018,20,E,0,9,0,20/07/2019
07/12/2018,20,G,3,13,23.07692308,20/07/2019
07/12/2018,15,B,0,9,0,20/07/2019
07/12/2018,15,C,1,12,8.333333333,20/07/2019
07/12/2018,15,E,0,12,0,20/07/2019
07/12/2018,15,F,1,11,9.090909091,20/07/2019
07/12/2018,15,G,0,12,0,20/07/2019
07/12/2018,10,A,2,13,15.38461538,20/07/2019
07/12/2018,10,B,1,11,9.090909091,20/07/2019
07/12/2018,10,C,1,14,7.142857143,20/07/2019
07/12/2018,10,D,1,11,9.090909091,20/07/2019
07/12/2018,10,E,0,13,0,20/07/2019
07/12/2018,10,F,1,12,8.333333333,20/07/2019
07/12/2018,4,A,0,13,0,20/07/2019
07/12/2018,4,B,3,14,21.42857143,20/07/2019
07/12/2018,4,C,2,12,16.66666667,20/07/2019
07/12/2018,4,D,1,9,11.11111111,20/07/2019
07/12/2018,4,E,5,12,41.66666667,20/07/2019
07/12/2018,4,G,2,12,16.66666667,20/07/2019
19/12/2018,20,A,0,10,0,20/07/2019
19/12/2018,20,B,0,11,0,20/07/2019
19/12/2018,20,C,0,11,0,20/07/2019
19/12/2018,20,D,0,11,0,20/07/2019
19/12/2018,20,E,0,9,0,20/07/2019
19/12/2018,20,G,1,13,7.692307692,20/07/2019
19/12/2018,15,B,0,9,0,20/07/2019
19/12/2018,15,C,0,12,0,20/07/2019
19/12/2018,15,E,1,12,8.333333333,20/07/2019
19/12/2018,15,F,1,11,9.090909091,20/07/2019
19/12/2018,15,G,0,12,0,20/07/2019
19/12/2018,10,A,1,13,7.692307692,20/07/2019
19/12/2018,10,B,1,11,9.090909091,20/07/2019
19/12/2018,10,C,0,14,0,20/07/2019
19/12/2018,10,D,0,11,0,20/07/2019
19/12/2018,10,E,0,13,0,20/07/2019
19/12/2018,10,F,0,12,0,20/07/2019
19/12/2018,4,A,0,13,0,20/07/2019
19/12/2018,4,B,1,14,7.142857143,20/07/2019
19/12/2018,4,C,0,12,0,20/07/2019
19/12/2018,4,D,0,9,0,20/07/2019
19/12/2018,4,E,3,12,25,20/07/2019
19/12/2018,4,G,3,12,25,20/07/2019
